location_identifier,zone_type,x,y,width,height
kanto-route-1,route,441,700,121,179
kanto-route-2,route,455,512,102,114
kanto-route-3,route,593,168,315,200
kanto-route-4,route,1022,171,269,157
kanto-route-5,route,1305,292,81,151
kanto-route-6,route,1280,563,131,172
kanto-route-7,route,1090,463,194,76
kanto-route-8,route,1417,471,329,77
kanto-route-9,route,1405,215,363,83
kanto-route-10,route,1748,295,101,155
kanto-route-11,route,1415,722,405,128
kanto-route-12,route,1815,589,92,425
kanto-route-13,route,1476,918,330,152
kanto-route-14,route,1405,1006,106,164
kanto-route-15,route,1143,1053,252,142
kanto-route-16,route,896,419,129,90
kanto-route-17,route,703,509,72,557
kanto-route-18,route,703,1064,219,134
kanto-route-22,route,269,621,180,90
kanto-route-23,route,200,357,100,290
kanto-route-24,route,1288,83,107,120
kanto-route-25,route,1356,38,279,65
kanto-sea-route-19,sea-route,953,1206,170,136
kanto-sea-route-20,sea-route,842,1298,181,96
kanto-sea-route-21,sea-route,389,1029,197,244
pallet-town,city,437,875,138,114
viridian-city,city,440,616,132,107
cerulean-city,city,1269,206,150,100
vermilion-city,city,1202,722,269,189
celadon-city,city,869,416,245,220
saffron-city,city,1246,422,190,152
fuchsia-city,city,920,1099,204,114
cinnabar-island,city,321,1263,240,129
viridian-forest,special,447,396,102,107
mt-moon,special,810,121,214,111
digletts-cave,special,1422,723,78,60
rock-tunnel,special,1769,235,60,53
power-plant,special,1761,303,71,48
pokemon-tower,special,1833,428,57,75
pokemon-mansion,special,382,1280,59,44
kanto-safari-zone,special,929,824,278,250
seafoam-islands,special,761,1325,80,51
cerulean-cave,special,1205,127,99,76
kanto-victory-road-2,special,199,109,125,290
