gameId;gameName;url;releaseDate;createdDate;gameTypes;platforms;regions;genres;engines;developers;publishers;runsRequireVerification;runsRequireVideo;runTimingOptions;runDefaultTimingOption;runsEmulatorsAllowed;isRomhack;
j1n8nj91;Computer Space;computer_space;01/11/1971;2022-10-11T15:53:28Z;;vm9vn63k;;x5e407n4;;;;true;true;realtime,ingame;realtime;true;false;
m1mem5pd;Camping With Springtrap;WhyTheHellAreYouEvenTheOwnerOfThis;30/06/1973;2024-02-18T00:54:04Z;;;;;;;;true;true;realtime;realtime;true;false;
369wv90d;Baking;IRL_Baking;01/01/1975;2024-05-16T16:50:48Z;;;;;;;;true;true;realtime;realtime;true;false;
369w2pgd;Reading;IRL_Reading;01/01/1975;2024-06-03T18:01:14Z;;o7e25xew,vm9vkn63;pr184lqn,e6lxy1dz,o316x197,mol4z19n,p2g50lnk,ypl25l47;;;;;true;true;realtime;realtime;true;false;
ldejl7j1;The Dungeon;the_dungeon;21/12/1975;2023-05-24T18:46:03Z;;;;d1npok27;;mznk9lzr;;true;true;realtime;realtime;true;false;
9d389y91;Mattel Auto Race;mattel_auto_race;01/01/1976;2022-08-23T03:09:59Z;;v06ddw64;;;;;;true;false;realtime;realtime;true;false;
3dx22ny1;Stunt Cycle;stunt;01/01/1976;2018-01-05T08:29:09Z;;o0644863,o7e2mx6w;pr184lqn,e6lxy1dz,o316x197,mol4z19n,p2g50lnk,ypl25l47;;;;;true;true;realtime;realtime;true;false;
j1n4mpe6;280-ZZZAP;280ZZZAP;02/01/1976;2024-02-29T23:55:02Z;;vm9vn63k;pr184lqn;;;;;true;true;realtime;realtime;true;false;
369woy2d;Sprint 2;Sprint_2;02/11/1976;2024-04-07T03:17:55Z;;vm9vn63k;pr184lqn,e6lxy1dz,o316x197;;;;;true;true;realtime;realtime;true;false;
76rx34v6;Drag Strip;drag_strip;01/01/1977;2018-01-16T12:26:37Z;;gde31w9k;pr184lqn;;;;;true;true;realtime;realtime;true;false;
268wqwk6;Depthcharge;depthcharge;01/01/1977;2023-03-20T01:07:53Z;;vm9vn63k;pr184lqn,o316x197;;;;;true;true;realtime;realtime;true;false;
